ADM_CD,TOT_REG_CD,18_density,18_level
11215870,1105062030502,0.00025526082865373677,1
11215770,1105058020012,0.00027777633908057024,1
11215830,1105065020201,0.0003529216854498082,1
11215860,1105061020002,0.0004022131027913987,1
11215730,1105054020004,0.00044178549281563697,1
11215740,1105055020009,0.0005390418418914525,1
11215760,1105057010201,0.0005443982269335339,1
11215770,1105058010008,0.0005492101323612723,1
11215810,1105063020702,0.0005720023000908185,1
11215847,1105067020003,0.0006007726190134711,1
11215770,1105058020009,0.0006064114848854041,1
11215847,1105067030007,0.0006413899717627289,1
11215740,1105055020010,0.0007012886444762972,1
11215760,1105057010202,0.0007353834852286698,1
11215740,1105055010015,0.0007601009712062343,1
11215840,1105066020501,0.0007605997659145907,1
11215860,1105061010020,0.0007745894572125743,1
11215730,1105054030004,0.0008022084847822056,1
11215860,1105061010024,0.000871288321574904,1
11215750,1105056010001,0.0008758477053669376,1
11215830,1105065020301,0.0008871647091083579,1
11215770,1105058010011,0.000893010336706891,1
11215810,1105063020003,0.0009323475214130664,1
11215830,1105065030501,0.001081981009350324,1
11215730,1105054020009,0.0010882220852218905,1
11215840,1105066010501,0.0011701589232966712,1
11215750,1105056020022,0.0012199098110542382,1
11215740,1105055020001,0.0012396490693961579,1
11215770,1105058030006,0.0012433701975292752,1
11215770,1105058010004,0.0012530327049748225,1
11215770,1105058010016,0.0012576450612213031,1
11215730,1105054030402,0.0012665214613393294,1
11215840,1105066010603,0.0013150287509571474,1
11215810,1105063010007,0.0013181847776999292,1
11215730,1105054020023,0.001327274592415134,1
11215840,1105066020901,0.001336461805392863,1
11215730,1105054030401,0.0013789894015725265,1
11215730,1105054020003,0.0014064340697559597,1
11215770,1105058010101,0.0014134367018608664,1
11215750,1105056020008,0.0014235188233914307,1
11215760,1105057020011,0.0014490001923253774,1
11215860,1105061010012,0.0015481972177183332,1
11215860,1105061010025,0.0015836333273751197,1
11215780,1105059010003,0.001587741177029402,1
11215730,1105054020008,0.0016130158168259614,1
11215860,1105061010003,0.0017316022617423334,1
11215840,1105066021202,0.001795707135286828,1
11215847,1105067020013,0.00185113910515668,1
11215840,1105066010502,0.0018674684847499825,1
11215847,1105067030003,0.001879552649331479,1
11215730,1105054020012,0.0019710625332501155,1
11215847,1105067020008,0.002026927294430755,1
11215770,1105058010002,0.002160025836591237,1
11215850,1105060010007,0.002207390170459815,1
11215860,1105061010029,0.0023030794511427074,1
11215830,1105065010003,0.0023143118137669205,1
11215830,1105065030201,0.0023226942522078745,1
11215850,1105060010003,0.002359839295436985,1
11215870,1105062030504,0.0025116388229000602,1
11215710,1105053030006,0.0025222264658087304,1
11215860,1105061010013,0.002620017495761073,1
11215850,1105060030003,0.002666999311000322,1
11215750,1105056010008,0.002782472467956146,1
11215860,1105061010006,0.0028447401315262414,1
11215770,1105058020017,0.0028495936583972214,1
11215750,1105056020004,0.002863614212541705,1
11215840,1105066010401,0.002884861606252215,1
11215710,1105053030005,0.0029362655329694225,1
11215840,1105066020006,0.0029451642491784254,1
11215810,1105063010202,0.002946361978348318,1
11215860,1105061030003,0.003096454582654218,1
11215760,1105057010004,0.0031277942199555114,1
11215830,1105065040002,0.0031785616311820536,1
11215740,1105055010011,0.0032476251159631194,1
11215730,1105054020002,0.0032744322065898306,1
11215830,1105065030301,0.0034550544633028127,1
11215840,1105066010201,0.0034763655600624204,1
11215730,1105054020024,0.0034988153841930343,1
11215740,1105055010003,0.00353573971815892,1
11215847,1105067020006,0.0035409941537231874,1
11215780,1105059010014,0.00368242360426308,1
11215810,1105063010203,0.003727883555759477,1
11215840,1105066020201,0.0037983415586031783,1
11215770,1105058010013,0.0038768166180675385,1
11215840,1105066010004,0.0038773707105918404,1
11215860,1105061010022,0.00394264379237217,1
11215810,1105063010001,0.00398656971950953,1
11215770,1105058010018,0.004020846948161709,1
11215860,1105061030101,0.004165804716577837,1
11215860,1105061010002,0.00477884310535343,1
11215847,1105067030004,0.004794517324448012,1
11215780,1105059010001,0.004897252420842048,1
11215860,1105061010018,0.0049125878004303,1
11215870,1105062030505,0.005047043736872887,1
11215850,1105060010008,0.005067694414195342,1
11215830,1105065010006,0.005079296670368484,1
11215770,1105058030013,0.005613775428023621,1
11215820,1105064020021,0.0058736709870895925,1
11215810,1105063010101,0.005926695749542776,1
11215830,1105065010004,0.006077123953242293,1
11215840,1105066010503,0.006156596015110025,1
11215840,1105066010602,0.006172423051180932,1
11215830,1105065010007,0.006189059184802478,1
11215810,1105063030202,0.006214225081313483,1
11215810,1105063030201,0.006259508019535441,1
11215810,1105063040308,0.006302235879136048,1
11215870,1105062030407,0.006475769336550205,1
11215770,1105058020014,0.006597124237088215,1
11215780,1105059010021,0.0069293533756170055,1
11215840,1105066021701,0.00716338494236772,1
11215870,1105062030408,0.007233949979421917,1
11215860,1105061030002,0.007241245386476886,1
11215760,1105057020004,0.007437294289771113,1
11215830,1105065020401,0.007721180308660614,1
11215780,1105059010002,0.008149288763872045,1
11215840,1105066010601,0.008156686913370558,1
11215780,1105059010010,0.008162809803902604,1
11215830,1105065010001,0.00835508513128428,1
11215870,1105062030507,0.008360155220359253,1
11215870,1105062030501,0.008591877046612798,1
11215860,1105061010014,0.008806382545264259,1
11215847,1105067020012,0.008899479016150399,1
11215730,1105054020001,0.008973420599169092,1
11215847,1105067030011,0.008984457285251277,1
11215860,1105061010010,0.008990696160115228,1
11215870,1105062010011,0.008994732020302352,1
11215847,1105067020014,0.009203911064308113,1
11215840,1105066020007,0.009410181857653934,1
11215780,1105059010011,0.009471269780080237,1
